battery,cycle,discharge_capacity,avg_voltage,end_voltage,discharge_time,cv_charge_time,Re,Rct,SOH,RUL
B0006,28,1.856024,3.550450,2.928395,3410.688000,7524.719000,0.060587,0.079895,0.911900,81
B0006,29,1.845200,3.546007,3.077115,3410.718000,7136.546000,0.060908,0.079749,0.906582,80
B0006,30,1.857229,3.554258,2.819561,3392.719000,7828.406000,0.060369,0.080145,0.912492,79
B0006,31,1.924776,3.555857,2.434301,3470.672000,1674.484000,0.063565,0.081508,0.945679,78
B0006,32,1.882232,3.553731,2.918776,3414.109000,7032.531000,0.062320,0.080212,0.924776,77
B0006,33,1.855277,3.545265,2.973957,3395.219000,7142.000000,0.061891,0.081208,0.911533,76
B0006,34,1.839251,3.538409,3.033433,3386.000000,7715.813000,0.061716,0.081502,0.903659,75
B0006,35,1.818540,3.529769,3.061693,3368.187000,7151.266000,0.061999,0.081388,0.893483,74
B0006,36,1.813477,3.530068,3.086421,3368.266000,7726.078000,0.062504,0.081691,0.890996,73
B0006,37,1.797102,3.524888,3.137787,3358.719000,7640.766000,0.062014,0.081316,0.882950,72
B0006,38,1.781005,3.519093,3.150116,3339.500000,7218.906000,0.061830,0.081204,0.875041,71
B0006,39,1.771013,3.515181,3.173892,3331.265000,7868.344000,0.062827,0.083472,0.870132,70
B0006,40,1.760471,3.514029,3.197207,3321.188000,7979.141000,0.063498,0.083855,0.864953,69
B0006,41,1.750291,3.514140,3.227568,3321.844000,7835.078000,0.060945,0.082016,0.859951,68
B0006,42,1.739493,3.509578,3.230858,3311.828000,7601.297000,0.063918,0.082166,0.854646,67
B0006,43,1.754677,3.511071,3.199633,3327.391000,7551.907000,0.062237,0.082275,0.862106,66
B0006,44,1.765939,3.515918,3.189810,3312.078000,8191.281000,0.063686,0.084110,0.867639,65
B0006,45,1.733789,3.505853,3.249962,3293.172000,8119.657000,0.062031,0.083192,0.851843,64
B0006,46,1.713326,3.501038,3.276179,3275.328000,7750.906000,0.062506,0.084268,0.841790,63
B0006,47,1.702408,3.497408,3.289234,3265.016000,8288.031000,0.062615,0.083972,0.836425,62
B0006,48,1.823719,3.538887,2.934952,3328.937000,7418.703000,0.065985,0.082059,0.896028,61
B0006,49,1.808128,3.532743,3.013358,3329.266000,7132.422000,0.064572,0.080342,0.888368,60
B0006,50,1.775761,3.521215,3.098192,3301.579000,7570.859000,0.063686,0.082364,0.872465,59
B0006,51,1.744741,3.509311,3.167347,3283.563000,7056.406000,0.062912,0.082141,0.857224,58
B0006,52,1.729207,3.507161,3.228686,3275.125000,7978.969000,0.063667,0.082970,0.849592,57
B0006,53,1.708109,3.500929,3.259572,3265.656000,7412.719000,0.064546,0.083906,0.839226,56
B0006,54,1.697595,3.497302,3.277420,3266.093000,7723.234000,0.064417,0.083321,0.834061,55
B0006,55,1.682063,3.492904,3.309542,3257.594000,7952.234000,0.065174,0.084782,0.826430,54
B0006,56,1.671477,3.488659,3.322946,3248.593000,8366.500000,0.063595,0.084185,0.821228,53
B0006,57,1.660759,3.482293,3.326877,3238.766000,8410.485000,0.065285,0.086050,0.815962,52
B0006,58,1.651121,3.477576,3.336400,3240.140000,8325.531000,0.066534,0.086748,0.811227,51
B0006,59,1.640135,3.478744,3.356231,3230.109000,8251.125000,0.066341,0.087206,0.805829,50
B0006,60,1.629200,3.474015,3.371466,3229.781000,8431.657000,0.065910,0.087128,0.800457,49
B0006,61,1.608850,3.471839,3.396019,3212.469000,7527.031000,0.066056,0.087563,0.790458,48
B0006,62,1.603524,3.463180,3.393883,3213.219000,8056.797000,0.065903,0.088209,0.787842,47
B0006,63,1.598971,3.463469,3.397816,3203.578000,8526.422000,0.067912,0.088315,0.785605,46
B0006,64,1.587627,3.460218,3.416423,3195.125000,8634.500000,0.066744,0.088580,0.780031,45
B0006,65,1.582972,3.462575,3.417550,3195.313000,8328.641000,0.067874,0.089349,0.777744,44
B0006,66,1.567138,3.453708,3.427505,3186.297000,8049.500000,0.066413,0.089503,0.769964,43
B0006,67,1.561345,3.451404,3.434751,3176.438000,8593.765000,0.066869,0.089810,0.767118,42
B0006,68,1.551171,3.450781,3.448198,3167.593000,8463.796000,0.067564,0.090933,0.762120,41
B0006,69,1.540674,3.446106,3.447136,3167.719000,8465.344000,0.067679,0.090975,0.756962,40
B0006,70,1.525314,3.441815,3.455115,3159.078000,7923.594000,0.067973,0.092324,0.749416,39
B0006,71,1.530157,3.445008,3.468023,3148.829000,8850.094000,0.068334,0.092017,0.751795,38
B0006,72,1.524657,3.441165,3.471134,3149.094000,8857.688000,0.068851,0.092582,0.749093,37
B0006,73,1.514549,3.443621,3.488339,3140.547000,8851.735000,0.069066,0.093491,0.744127,36
B0006,74,1.509392,3.439943,3.488226,3131.625000,8941.203000,0.068709,0.093877,0.741593,35
B0006,75,1.503997,3.436027,3.487700,3121.907000,8968.688000,0.069526,0.094186,0.738942,34
B0006,76,1.493520,3.436309,3.501914,3122.125000,8616.890000,0.068252,0.093440,0.733795,33
B0006,77,1.487632,3.430470,3.506490,3121.672000,9024.734000,0.069603,0.095613,0.730902,32
B0006,78,1.530288,3.441731,3.461271,3120.860000,9067.172000,0.070577,0.092427,0.751859,31
B0006,79,1.504076,3.435543,3.495980,3103.828000,8954.265000,0.069444,0.095087,0.738981,30
B0006,80,1.488759,3.427234,3.495868,3095.094000,9034.640000,0.069241,0.095411,0.731456,29
B0006,81,1.478278,3.430754,3.516832,3095.781000,8478.406000,0.070180,0.095801,0.726306,28
B0006,82,1.478460,3.430880,3.514081,3094.328000,9099.531000,0.070321,0.095302,0.726395,27
B0006,83,1.473215,3.431985,3.517917,3086.531000,9097.234000,0.069308,0.094548,0.723818,26
B0006,84,1.467516,3.426914,3.519102,3085.625000,8970.531000,0.070660,0.095580,0.721019,25
B0006,85,1.451629,3.422042,3.521494,3067.203000,8457.938000,0.070488,0.096375,0.713213,24
B0006,86,1.451924,3.420269,3.531200,3058.157000,9184.532000,0.071253,0.096933,0.713358,23
B0006,87,1.447148,3.424821,3.540683,3058.812000,9216.016000,0.072909,0.096859,0.711012,22
B0006,88,1.446854,3.423499,3.535654,3058.578000,9152.328000,0.072510,0.096602,0.710867,21
B0006,89,1.441674,3.424742,3.542648,3049.328000,9214.797000,0.070888,0.097407,0.708322,20
B0006,90,1.593587,3.450702,3.502947,3177.219000,9214.797000,0.071415,0.096149,0.782959,19
B0006,91,1.546390,3.448048,3.459145,3082.937000,9105.234000,0.070832,0.090666,0.759771,18
B0006,92,1.514706,3.439948,3.488591,3074.266000,8676.281000,0.070304,0.093053,0.744204,17
B0006,93,1.498979,3.434113,3.500663,3066.000000,8911.485000,0.071567,0.093670,0.736477,16
B0006,94,1.483111,3.432560,3.519099,3056.437000,9075.203000,0.072351,0.094403,0.728681,15
B0006,95,1.472966,3.427061,3.521286,3048.219000,9014.407000,0.070338,0.095071,0.723696,14
B0006,96,1.462760,3.427340,3.531585,3039.218000,9066.594000,0.071483,0.095468,0.718682,13
B0006,97,1.451836,3.423482,3.532926,3039.047000,9189.000000,0.071779,0.096789,0.713315,12
B0006,98,1.446867,3.422096,3.539045,3030.375000,8769.563000,0.072177,0.097315,0.710873,11
B0006,99,1.441380,3.421884,3.545547,3021.000000,9234.203000,0.072758,0.097424,0.708178,10
B0006,100,1.431211,3.419578,3.548457,3021.750000,9259.579000,0.071612,0.096183,0.703181,9
B0006,101,1.426025,3.417528,3.549926,3012.265000,9276.609000,0.072363,0.098006,0.700633,8
B0006,102,1.420488,3.419786,3.562237,3002.641000,8857.218000,0.072172,0.097544,0.697913,7
B0006,103,1.420701,3.417137,3.558770,3012.000000,9320.532000,0.073275,0.098168,0.698017,6
B0006,104,1.452256,3.430535,3.541383,3020.110000,8593.766000,0.072799,0.093519,0.713521,5
B0006,105,1.431558,3.425084,3.557320,3002.172000,8980.187000,0.073742,0.096820,0.703351,4
B0006,106,1.415016,3.417134,3.556002,2992.703000,8387.094000,0.073512,0.097848,0.695224,3
B0006,107,1.409731,3.417521,3.565451,2964.468000,8819.171000,0.073631,0.098721,0.692628,2
B0006,108,1.404917,3.418162,3.577811,2983.375000,9347.828000,0.074837,0.098556,0.690263,1
B0006,109,1.395164,3.420332,3.582384,2975.297000,8606.171000,0.074229,0.097946,0.685471,0
B0006,110,1.394534,3.419292,3.583670,2974.985000,9285.828000,0.073593,0.097943,0.685161,-1
B0006,111,1.389317,3.414352,3.585625,2966.250000,9392.063000,0.074290,0.097828,0.682598,-2
B0006,112,1.383838,3.412701,3.588984,2956.359000,9423.750000,0.074362,0.100297,0.679906,-3
B0006,113,1.373681,3.410410,3.586470,2956.344000,8642.047000,0.073088,0.100286,0.674916,-4
B0006,114,1.378606,3.414419,3.592352,2956.406000,9434.172000,0.073906,0.100348,0.677335,-5
B0006,115,1.373760,3.413171,3.596312,2947.266000,9440.828000,0.074065,0.099037,0.674954,-6
B0006,116,1.368258,3.410702,3.600239,2937.984000,9464.719000,0.074341,0.100679,0.672251,-7
B0006,117,1.363302,3.408906,3.604262,2929.125000,9488.063000,0.074984,0.100381,0.669816,-8
B0006,118,1.358097,3.413408,3.610209,2928.454000,9208.844000,0.073634,0.100343,0.667259,-9
B0006,119,1.353269,3.411221,3.604385,2929.375000,8898.078000,0.074957,0.098675,0.664887,-10
B0006,120,1.384161,3.415521,3.592940,2946.031000,8824.515000,0.075133,0.099885,0.680064,-11
B0006,121,1.405147,3.422984,3.586262,2955.438000,8922.141000,0.074564,0.094655,0.690375,-12
B0006,122,1.378719,3.414757,3.599373,2937.625000,9265.328000,0.075928,0.100330,0.677391,-13
B0006,123,1.368266,3.414359,3.613313,2929.078000,9259.922000,0.075509,0.101161,0.672255,-14
B0006,124,1.357315,3.409189,3.612916,2918.375000,9486.172000,0.074610,0.101459,0.666875,-15
B0006,125,1.352493,3.411930,3.623077,2919.812000,9421.453000,0.074880,0.100603,0.664506,-16
B0006,126,1.347410,3.409442,3.622541,2900.422000,9495.704000,0.075281,0.102545,0.662008,-17
B0006,127,1.337008,3.408190,3.626276,2901.375000,9484.079000,0.074996,0.101387,0.656897,-18
B0006,128,1.331235,3.407379,3.630940,2901.187000,9562.766000,0.076359,0.101432,0.654061,-19
B0006,129,1.325930,3.408586,3.636652,2891.640000,8891.360000,0.074777,0.102809,0.651455,-20
B0006,130,1.321579,3.404844,3.633649,2882.906000,9376.844000,0.076011,0.102075,0.649317,-21
B0006,131,1.321225,3.408106,3.640853,2883.265000,9602.500000,0.076323,0.102432,0.649143,-22
B0006,132,1.315649,3.409173,3.646304,2882.969000,9618.359000,0.074995,0.102596,0.646403,-23
B0006,133,1.320903,3.411082,3.643186,2891.656000,9560.110000,0.076559,0.103018,0.648985,-24
B0006,134,1.347433,3.416749,3.630092,2901.250000,9629.281000,0.076559,0.103018,0.662019,-25
B0006,135,1.326013,3.416969,3.644383,2891.703000,9444.391000,0.073485,0.097215,0.651495,-26
B0006,136,1.310119,3.410576,3.647725,2883.016000,9595.469000,0.076278,0.102093,0.643686,-27
B0006,137,1.305216,3.411334,3.654759,2873.453000,9622.531000,0.076281,0.101230,0.641278,-28
B0006,138,1.300406,3.408128,3.649848,2874.031000,9343.985000,0.075591,0.101700,0.638914,-29
B0006,139,1.300236,3.412573,3.654795,2874.234000,9515.250000,0.074369,0.101951,0.638831,-30
B0006,140,1.289507,3.407694,3.655197,2864.984000,9275.875000,0.075549,0.103391,0.633559,-31
B0006,141,1.279253,3.407350,3.660920,2855.093000,9054.656000,0.075438,0.101902,0.628521,-32
B0006,142,1.279208,3.409292,3.666551,2855.625000,9620.610000,0.075283,0.102128,0.628499,-33
B0006,143,1.274037,3.409549,3.664830,2855.594000,9551.672000,0.075043,0.102348,0.625958,-34
B0006,144,1.274127,3.410319,3.667071,2847.437000,9515.750000,0.074931,0.103165,0.626003,-35
B0006,145,1.263764,3.409269,3.671064,2847.360000,8875.828000,0.075559,0.101716,0.620911,-36
B0006,146,1.258137,3.409437,3.675528,2837.328000,9433.016000,0.075291,0.103991,0.618147,-37
B0006,147,1.253260,3.403885,3.672912,2837.281000,9525.407000,0.076959,0.102781,0.615750,-38
B0006,148,1.253231,3.406593,3.672943,2838.515000,9759.672000,0.075825,0.104106,0.615736,-39
B0006,149,1.248087,3.409593,3.676427,2828.328000,8986.610000,0.075912,0.104944,0.613209,-40
B0006,150,1.253435,3.409410,3.678748,2838.265000,9514.375000,0.076293,0.106471,0.615837,-41
B0006,151,1.289805,3.419549,3.666024,2864.547000,9830.172000,0.074298,0.097272,0.633706,-42
B0006,152,1.263540,3.415180,3.673518,2846.390000,9640.860000,0.075288,0.101313,0.620801,-43
B0006,153,1.247976,3.415459,3.679265,2837.969000,9479.360000,0.075251,0.102631,0.613154,-44
B0006,154,1.232120,3.413034,3.681001,2838.156000,9016.094000,0.075796,0.103376,0.605364,-45
B0006,155,1.227114,3.409452,3.681621,2829.843000,9387.391000,0.076343,0.104594,0.602904,-46
B0006,156,1.221740,3.413850,3.687058,2829.625000,9514.062000,0.075486,0.104157,0.600264,-47
B0006,157,1.211103,3.410901,3.686610,2819.437000,9269.312000,0.075678,0.104989,0.595038,-48
B0006,158,1.205616,3.410574,3.688664,2819.579000,9579.531000,0.076397,0.106256,0.592342,-49
B0006,159,1.200894,3.409651,3.689428,2810.672000,9828.094000,0.075541,0.103252,0.590022,-50
B0006,160,1.190590,3.412858,3.691558,2811.485000,9314.140000,0.077586,0.104731,0.584960,-51
B0006,161,1.185179,3.413451,3.692495,2802.422000,9345.203000,0.079141,0.104106,0.582301,-52
B0006,162,1.179671,3.414388,3.693907,2801.625000,9600.203000,0.077035,0.104303,0.579595,-53
B0006,163,1.174595,3.412419,3.694626,2802.031000,9499.625000,0.075587,0.105450,0.577101,-54
B0006,164,1.153818,3.414810,3.696327,2793.390000,9236.969000,0.076800,0.105058,0.566893,-55
B0006,165,1.164401,3.416618,3.697170,2793.390000,9404.547000,0.077734,0.105526,0.572092,-56
B0006,166,1.158797,3.412134,3.696674,2792.485000,9674.281000,0.076498,0.106684,0.569339,-57
B0006,167,1.174975,3.419700,3.693059,2802.016000,9000.375000,0.076934,0.105898,0.577287,-58
B0006,168,1.185675,3.423469,3.691809,2820.390000,9282.375000,0.073589,0.099995,0.582545,-59
